Tweets,Classification,word_count,char_count,avg_word,stopwords,hastags
extends china tariff deadline cites progress talks,False,12,104,7.75,1,0
fras99 cancelled thegoodgodabove help,False,12,78,5.583333333333333,6,0
benito mussolini atlantic excellent piece,False,11,84,7.2,2,0
us delay china tariff increase,False,9,65,6.333333333333333,1,0
potus realdonaldtrump also quoted mussolini republicans openly loving fascists dont worry usa handle fascists,False,23,189,7.260869565217392,3,0
los eeuu han echo el mayor trabajo todos los tiempos por el bien en por eso contar con mi presidente favorito,False,29,144,4.142857142857143,1,0
said something moral high ground progressives moral intellectual political team conservatives bus support 2,False,37,246,5.675675675675675,14,0
realdonaldtrump,False,2,34,16.5,0,0
oscars set look trumps hair,False,10,52,4.3,3,0
jr predicts happen oscars skip show hes convinced liberal,True,20,129,5.5,7,0
extends china tariff deadline cites progress talks,False,11,85,6.818181818181818,1,0
mayaharris kamalaharris kamala harris might take big lie,False,21,111,4.333333333333333,11,0
trumps friendship hell jeffrey epstein via palmerreport,False,11,92,7.454545454545454,2,0
think today government went page big book dumb things decided try change time day service even considering better make,True,49,265,4.617021276595745,21,0
single person daddy jr predicts happen oscars skip show,False,24,144,4.576923076923077,13,0
oscars2019 la actriz maya rudolph la ceremonia los premios oscar méxico pagará por el muro del presidente,False,25,165,5.64,1,0
angelabelcamino cares america every corner 4th july,False,25,135,4.826086956521739,11,0
junior también va un poquito solo un poquito lo es capaz hacer lo es,False,25,135,4.44,2,0
nominates man whose firm tripled price insulin regulate drug companies,True,14,101,6.285714285714286,2,0
whole fucking worlds gone crazy calling klan ride lying attacked white racists people lost ever loving minds look youre fired,True,40,225,4.65,17,0
crooked bigoted racist dumbest stupid wall head called j oh forgot liar best character,True,36,187,4.545454545454546,15,0
trade chief dumbs contract term doesnt get via yahoonews,False,15,102,5.866666666666666,3,0
chatbycc realdonaldtrump compare vladimir putins bidding,False,12,103,7.666666666666667,3,0
america trick make trumps presidency 7 days need help making one tweet go viral nightmare,False,40,201,4.153846153846154,18,0
agrees extend tariff deadline uschina,False,14,120,7.642857142857143,2,0
man behind art deal cant manage buy 50 500000 sounds right,False,20,129,4.7272727272727275,7,0
politico 13 2018 long trip everybody feel much day took office longer nuclear threat north korea,False,38,183,4.171428571428572,13,0
possible love pamela hate war drugs crimes war drugs war people profit selling drug brother took took life yes save end war drugs,True,50,265,3.9622641509433962,24,0
realdonaldtrump senatemajldr want dont donnie said fell love remember kim jong un ordered,False,31,212,5.40625,10,0
tweet someone needs explain important youre cock,True,32,185,5.310344827586207,14,0
senfeinstein stop anyone please put end 3 year nightmare cancer face america amp whole world world total lies todate american 8718 counting enemy people,True,51,259,4.333333333333333,18,0
unable explain fake immigration crime statistics come,False,14,103,6.428571428571429,4,0
seriously expert well played oscars oscar2019 oscars2019,False,13,109,6.785714285714286,3,0
trumps friendship hell jeffrey epstein via palmerreport,False,11,92,7.454545454545454,2,0
jr lying criminal sht dad n need prison probably dirty work dad frame jussie little,True,40,200,4.2368421052631575,16,0
robert kraft jeffrey epstein day reckoning americas billionaires bunch,False,18,122,6.176470588235294,5,0
taking 34 send jail hell problem mr send jail,False,28,132,3.75,15,0
donnie amp kim soon exchange vows,False,10,91,7.090909090909091,2,0
trumps friendship hell jeffrey epstein via palmerreport,False,11,92,7.454545454545454,2,0
mario never talked check mate,False,11,82,5.916666666666667,1,0
jr asshole,True,9,52,6.285714285714286,2,0
